Platform,Content_Type,Post_ID,Timestamp,User_Followers,Content_Text,Language,Country,Engagement_Score,Like_Count,Share_Count,Comment_Count,Verification_Status,Content_Category,Misinformation_Flag,Fact_Check_Source,Sentiment_Score,Toxicity_Score,Political_Leaning,Topic_Tags,Content_Length_Chars,Media_Type,Has_External_Link,Viral_Score,Moderation_Action
Q1390577,Q37473904,tw_001,2024-08-13T09:15:23Z,15420,Climate change is just a natural cycle - the Earth has always warmed and cooled,Q1860,Q30,0.72,234,89,156,Verified,Q192864,True,Q130879,0.23,0.15,Conservative,Q7937;Q192864;Q2249676,97,Text,False,0.68,Warning_Label
Q355,Q21491634,fb_002,2024-08-13T11:32:45Z,8934,New vaccine study shows 99% effectiveness against latest variant,Q1860,Q145,0.89,567,234,89,Unverified,Q12147,False,Q918396,0.78,0.05,Neutral,Q7907941;Q12147;Q84263196,78,Text,True,0.85,Approved
Q866,Q98069877,yt_004,2024-08-13T16:45:33Z,567890,Documentary: The Real Truth About Election Security,Q1860,Q30,0.45,2345,567,890,Verified,Q7163,True,Q4653479,-0.12,0.67,Conservative,Q60390640;Q7163;Q2526135,45,Video,True,0.78,Demonetized
Q48938223,Q98069877,tk_005,2024-08-13T18:22:11Z,123456,5G towers cause health problems - here's the proof!,Q1860,Q408,0.34,890,345,234,Unverified,Q12147,True,Q7817,-0.45,0.78,Conspiracy,Q16144068;Q12147;Q930164,67,Video,True,0.56,Removed
Q1136,Q21491634,rd_007,2024-08-13T20:33:17Z,234,The moonlanding was definitely fake - here's why the shadows don't match,Q1860,Q30,0.23,45,12,89,Unverified,Q159535,True,Q23548,-0.67,0.45,Conspiracy,Q16877383;Q380933;Q930164,234,Text,False,0.29,Downvoted
Q1390577,Q37473904,tw_008,2024-08-13T07:45:22Z,89234,Breaking: New renewable energy breakthrough could revolutionize solar power,Q1860,Q17,0.91,1567,678,234,Verified,Q11016,False,Q27723996,0.84,0.03,Liberal,Q117454372;Q11379;Q29441547,134,Text,True,0.91,Promoted
Q355,Q21491634,fb_009,2024-08-13T13:17:55Z,12345,Masks don't work against viruses - government lies to control us,Q1860,Q155,0.12,67,23,145,Unverified,Q12147,True,Q583725,-0.78,0.89,Conservative,Q12036011;Q7188;Q930164,89,Text,False,0.67,Restricted
Q1390577,Q37473904,tw_013,2024-08-13T08:33:19Z,567234,Electric vehicles are actually worse for environment than gas cars,Q1860,Q30,0.34,234,89,567,Unverified,Q2249676,True,Q3244038,-0.23,0.56,Conservative,Q829665;Q2249676;Q1059038,112,Text,True,0.45,Fact_Checked
Q355,Q21491634,fb_016,2024-08-13T09:55:17Z,34567,Sharing this amazing documentary about ocean conservation efforts,Q1860,Q16,0.86,678,145,89,Verified,Q2249676,False,Q5973845,0.83,0.03,Liberal,Q71267306;Q628403;Q4164344,89,Video,True,0.61,Approved
Q209330,Q37312296,ig_017,2024-08-14T06:22:14Z,156789,Debunking common myths about renewable energy with actual data,Q1860,Q55,0.79,2345,456,234,Verified,Q8434,False,Q826700,0.74,0.08,Liberal,Q117454372;Q11379;Q55516988,156,Video,True,0.73,Approved
