Platform,Content_Type,Post_ID,Timestamp,User_Followers,Content_Text,Language,Country,Engagement_Score,Like_Count,Share_Count,Comment_Count,Verification_Status,Content_Category,Misinformation_Flag,Fact_Check_Source,Sentiment_Score,Toxicity_Score,Political_Leaning,Topic_Tags,Content_Length_Chars,Media_Type,Has_External_Link,Viral_Score,Moderation_Action
Q1390577,Q37473904,tw_001,2024-08-13T09:15:23Z,15420,Climate change is just a natural cycle - the Earth has always warmed and cooled,Q1860,Q30,0.72,234,89,156,Verified,Q192864,True,Q130879,0.23,0.15,Conservative,climate;science;environment,97,Text,False,0.68,Warning_Label
Q355,Q21491634,fb_002,2024-08-13T11:32:45Z,8934,New vaccine study shows 99% effectiveness against latest variant,Q1860,Q145,0.89,567,234,89,Unverified,Q12147,False,Q918396,0.78,0.05,Neutral,vaccine;health;covid,78,Text,True,0.85,Approved
Q866,Q98069877,yt_004,2024-08-13T16:45:33Z,567890,Documentary: The Real Truth About Election Security,Q1860,Q30,0.45,2345,567,890,Verified,Q7163,True,Q4653479,-0.12,0.67,Conservative,election;politics;security,45,Video,True,0.78,Demonetized
Q48938223,Q98069877,tk_005,2024-08-13T18:22:11Z,123456,5G towers cause health problems - here's the proof!,Q1860,Q408,0.34,890,345,234,Unverified,Q12147,True,Q7817,-0.45,0.78,Q159535,5G;health;Q159535,67,Video,True,0.56,Removed
Q1136,Q21491634,rd_007,2024-08-13T20:33:17Z,234,The moonlanding was definitely fake - here's why the shadows don't match,Q1860,Q30,0.23,45,12,89,Unverified,Q159535,True,Q23548,-0.67,0.45,Q159535,moon;space;Q159535,234,Text,False,0.29,Downvoted
Q1390577,Q37473904,tw_008,2024-08-13T07:45:22Z,89234,Breaking: New renewable energy breakthrough could revolutionize solar power,Q1860,Q17,0.91,1567,678,234,Verified,Q11016,False,Q27723996,0.84,0.03,Liberal,renewable;energy;solar,134,Text,True,0.91,Promoted
Q355,Q21491634,fb_009,2024-08-13T13:17:55Z,12345,Masks don't work against viruses - government lies to control us,Q1860,Q155,0.12,67,23,145,Unverified,Q12147,True,Q583725,-0.78,0.89,Conservative,masks;government;Q159535,89,Text,False,0.67,Restricted
Q1390577,Q37473904,tw_013,2024-08-13T08:33:19Z,567234,Electric vehicles are actually worse for environment than gas cars,Q1860,Q30,0.34,234,89,567,Unverified,Q2249676,True,Q3244038,-0.23,0.56,Conservative,EV;environment;cars,112,Text,True,0.45,Fact_Checked
Q355,Q21491634,fb_016,2024-08-13T09:55:17Z,34567,Sharing this amazing documentary about ocean conservation efforts,Q1860,Q16,0.86,678,145,89,Verified,Q2249676,False,Q5973845,0.83,0.03,Liberal,ocean;conservation;documentary,89,Video,True,0.61,Approved
Q209330,Q37312296,ig_017,2024-08-14T06:22:14Z,156789,Debunking common myths about renewable energy with actual data,Q1860,Q55,0.79,2345,456,234,Verified,Q8434,False,Q826700,0.74,0.08,Liberal,renewable;energy;facts,156,Video,True,0.73,Approved
Q1390577,Q37473904,tw_018,2024-08-14T11:17:42Z,45123,Ivermectin cures COVID better than any vaccine - big pharma doesn't want you to know,Q1860,Q30,0.15,89,34,456,Unverified,Q12147,True,Q5425269,-0.56,0.82,Conservative,ivermectin;covid;pharma,134,Text,False,0.69,Removed
Q866,Q114870320,yt_019,2024-08-14T14:33:28Z,234567,Quick explanation of how machine learning actually works,Q1860,Q668,0.91,5678,1234,345,Verified,Q8434,False,Q334661,0.88,0.02,Neutral,ML;education;technology,67,Video,False,0.84,Approved
Q48938223,Q98069877,tk_020,2024-08-14T17:45:55Z,89012,Q159535 theory about birds not being real - they're government drones!,Q1860,Q30,0.25,456,123,789,Unverified,Q159535,True,Q1646000,-0.45,0.71,Q159535,birds;government;drones,89,Video,False,0.58,Warning_Added
Q213660,Q191067,ln_021,2024-08-14T09:12:33Z,67890,The Future of Work: How AI Will Create More Jobs Than It Destroys,Q1860,Q145,0.85,1234,234,156,Verified,Q11016,False,Q310207,0.76,0.04,Neutral,AI;jobs;future;work,234,Text,True,0.67,Approved
Q1136,Q58897583,rd_022,2024-08-14T20:28:41Z,1234,Actually the earth is flat and all space agencies are lying to us about it,Q1860,Q408,0.08,12,3,67,Unverified,Q159535,True,Q23548,-0.78,0.65,Q159535,flat_earth;space;Q159535,78,Text,False,0.34,Hidden
Q355,Q98069877,fb_023,2024-08-14T12:44:19Z,78901,Live stream: Scientists explain breakthrough in fusion energy research,Q1860,Q142,0.92,3456,678,234,Verified,Q192864,False,Q191788,0.89,0.02,Neutral,fusion;energy;science,45,Live_Video,True,0.78,Featured
Q209330,Q21491634,ig_024,2024-08-14T16:33:27Z,123890,Mental health awareness is so important - sharing resources for anyone struggling,Q1860,Q16,0.94,2345,345,456,Verified,Q12147,False,Q7817,0.91,0.01,Liberal,mental_health;awareness;support,167,Text,True,0.56,Approved
Q213660,Q21491634,ln_028,2024-08-14T08:33:44Z,34567,Proud to announce our company achieved carbon neutrality ahead of schedule,Q1860,Q183,0.83,789,123,67,Verified,Q2249676,False,Q96731641,0.87,0.02,Liberal,carbon;neutrality;sustainability,145,Text,False,0.41,Approved
Q355,Q21491634,fb_030,2024-08-14T18:55:11Z,12367,Vaccines contain microchips for government tracking - wake up people!,Q1860,Q30,0.06,45,12,234,Unverified,Q12147,True,Q583725,-0.89,0.94,Q159535,vaccines;microchips;government,98,Text,False,0.73,Removed
Q1390577,Q37473904,tw_032,2024-08-15T10:44:18Z,234789,New study shows plant-based diets reduce carbon footprint by 73%,Q1860,Q145,0.81,1234,456,234,Verified,Q2249676,False,Q180445,0.79,0.06,Liberal,plant_based;carbon;diet,89,Text,True,0.65,Approved
Q866,Q98069877,yt_033,2024-08-15T13:28:45Z,345123,Why 5G is Actually Safe: Electromagnetic Radiation Explained,Q1860,Q16,0.76,2345,345,456,Verified,Q192864,False,Q127793,0.72,0.12,Neutral,5G;radiation;safety,78,Video,True,0.58,Approved
Q48938223,Q98069877,tk_034,2024-08-15T16:11:29Z,456890,Showing how easy it is to spot deepfake Videos - media literacy matters!,Q1860,Q30,0.87,3456,789,345,Verified,Q8434,False,Q1373549,0.84,0.04,Neutral,deepfake;media_literacy;education,123,Video,True,0.74,Educational
Q1136,Q21491634,rd_036,2024-08-15T19:45:23Z,2345,Chemtrails are real and they're poisoning our water supply,Q1860,Q30,0.09,23,8,123,Unverified,Q159535,True,Q3244038,-0.67,0.78,Q159535,chemtrails;water;Q159535,134,Text,False,0.41,Removed
Q355,Q23950121,fb_037,2024-08-15T14:22:41Z,89456,Live Q&A with climate scientists about extreme weather patterns,Q1860,Q183,0.91,4567,567,789,Verified,Q192864,False,Q103843442,0.83,0.05,Neutral,climate;weather;science,56,Live_Video,False,0.72,Featured
Q209330,Q37312296,ig_038,2024-08-15T17:33:55Z,123567,Quick tutorial on identifying misinformation in your social media feed,Q1860,Q16,0.86,2134,456,234,Verified,Q8434,False,Q130879,0.81,0.07,Neutral,misinformation;media_literacy;tips,167,Video,True,0.69,Promoted
Q1390577,Q37473904,tw_039,2024-08-15T20:15:44Z,678901,Electric grid can't handle renewable energy - blackouts incoming this winter,Q1860,Q30,0.28,456,123,567,Unverified,Q11379,Uncertain,Q217810,-0.34,0.67,Conservative,grid;renewable;blackouts,112,Text,False,0.54,Fact_Checked
